Country,song_title,artist,streams,rank
United States,Rockin' Around The Christmas Tree,Brenda Lee,5662961,1
United States,34+35,Ariana Grande,5425062,2
United States,Jingle Bell Rock,Bobby Helms,5326633,3
United States,Mood (feat. iann dior),24kGoldn,5204578,4
United States,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,5165110,5
United States,DÁKITI,"Bad Bunny, Jhay Cortez",5102182,6
United States,All I Want for Christmas Is You,Mariah Carey,5071065,7
United States,It's the Most Wonderful Time of the Year,Andy Williams,4985189,8
United States,positions,Ariana Grande,4954597,9
United States,Good Days,SZA,4601858,10
UK,Last Christmas,Wham!,3220201,1
UK,All I Want for Christmas Is You,Mariah Carey,3111519,2
UK,Rockin' Around The Christmas Tree,Brenda Lee,2743732,3
UK,It's Beginning to Look a Lot like Christmas,Michael Bublé,2518827,4
UK,It's the Most Wonderful Time of the Year,Andy Williams,2353487,5
UK,Jingle Bell Rock,Bobby Helms,2247393,6
UK,Santa Tell Me,Ariana Grande,2198371,7
UK,Underneath the Tree,Kelly Clarkson,2112475,8
UK,Do They Know It's Christmas? - 1984 Version,Band Aid,2101341,9
UK,Fairytale of New York (feat. Kirsty MacColl),The Pogues,2047272,10
Australia,WITHOUT YOU,The Kid LAROI,1314134,1
Australia,Mood (feat. iann dior),24kGoldn,1309470,2
Australia,positions,Ariana Grande,1163019,3
Australia,Head & Heart (feat. MNEK),Joel Corry,1132070,4
Australia,Levitating (feat. DaBaby),Dua Lipa,987633,5
Australia,SO DONE,The Kid LAROI,987420,6
Australia,All I Want for Christmas Is You,Mariah Carey,947859,7
Australia,Blinding Lights,The Weeknd,886395,8
Australia,What You Know Bout Love,Pop Smoke,878531,9
Australia,34+35,Ariana Grande,875348,10
Brazil,Recairei - Ao Vivo,Os Barões Da Pisadinha,6719221,1
Brazil,MODO TURBO,"Luísa Sonza, Pabllo Vittar, Anitta",6678895,2
Brazil,Meia Noite (Você tem meu Whatsapp),Tarcísio do Acordeon,5861680,3
Brazil,Amor ou o Litrão,"Petter Ferraz, Menor Nico",5427280,4
Brazil,Basta Você Me Ligar - Ao Vivo,"Os Barões Da Pisadinha, Xand Avião",5301451,5
Brazil,Investe Em Mim,Jonas Esticado,5045633,6
Brazil,Lance Individual,Jorge & Mateus,5042883,7
Brazil,Alô Ambev (Segue Sua Vida) - Ao Vivo,Zé Neto & Cristiano,4719927,8
Brazil,Amor da Despedida,"Os Barões Da Pisadinha, Fernando & Sorocaba",4221834,9
Brazil,Só Tem Eu,Zé Felipe,4121436,10
Canada,All I Want for Christmas Is You,Mariah Carey,1225813,1
Canada,Rockin' Around The Christmas Tree,Brenda Lee,1159235,2
Canada,Last Christmas,Wham!,1120865,3
Canada,Jingle Bell Rock,Bobby Helms,1090275,4
Canada,It's Beginning to Look a Lot like Christmas,Michael Bublé,1061044,5
Canada,Santa Tell Me,Ariana Grande,1007293,6
Canada,It's the Most Wonderful Time of the Year,Andy Williams,973589,7
Canada,Mood (feat. iann dior),24kGoldn,922373,8
Canada,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,818530,9
Canada,Whoopty,CJ,790763,10
Colombia,DÁKITI,"Bad Bunny, Jhay Cortez",1013458,1
Colombia,BICHOTA,KAROL G,831932,2
Colombia,Hawái,Maluma,622886,3
Colombia,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",609474,4
Colombia,La Nota,"Manuel Turizo, Rauw Alejandro, Myke Towers",508634,5
Colombia,Reloj,"Rauw Alejandro, Anuel AA",499374,6
Colombia,Vida de Rico,Camilo,464211,7
Colombia,Una Locura,"Ozuna, J Balvin, Chencho Corleone",439265,8
Colombia,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",433714,9
Colombia,Hecha Pa' Mi,Boza,428066,10
Germany,Lost (feat. TOPIC42),Samra,2238622,1
Germany,Mood (feat. iann dior),24kGoldn,2030156,2
Germany,Head & Heart (feat. MNEK),Joel Corry,1939890,3
Germany,The Business,Tiësto,1842868,4
Germany,Blinding Lights,The Weeknd,1715076,5
Germany,Last Christmas,Wham!,1686818,6
Germany,Head Shoulders Knees & Toes (feat. Norma Jean Martine),"Ofenbach, Quarterhead",1670517,7
Germany,All I Want for Christmas Is You,Mariah Carey,1589604,8
Germany,Verlierer,LUNA,1550183,9
Germany,Goosebumps,HVME,1503705,10
Hong Kong,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,129313,1
Hong Kong,是但求其愛,Eason Chan,115204,2
Hong Kong,一人之境 in C major,Terence Lam,112750,3
Hong Kong,時光倒流一句話,Terence Lam,104521,4
Hong Kong,隔離 - Studio Live Duet,"Jace Chan, Terence Lam",104129,5
Hong Kong,銀河修理員,Dear Jane,96079,6
Hong Kong,Afterglow,Ed Sheeran,91241,7
Hong Kong,All I Want for Christmas Is You,Mariah Carey,89198,8
Hong Kong,Last Christmas,Wham!,86615,9
Hong Kong,Santa Tell Me,Ariana Grande,84550,10
Hungary,Mood (feat. iann dior),24kGoldn,101705,1
