country,song_title,artist,streams,rank
USA,Rockin' Around The Christmas Tree,Brenda Lee,"5,662,961",1
USA,34+35,Ariana Grande,"5,425,062",2
USA,Jingle Bell Rock,Bobby Helms,"5,326,633",3
USA,Mood (feat. iann dior),24kGoldn,"5,204,578",4
USA,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,"5,165,110",5
USA,DÁKITI,"Bad Bunny, Jhay Cortez","5,102,182",6
USA,All I Want for Christmas Is You,Mariah Carey,"5,071,065",7
USA,It's the Most Wonderful Time of the Year,Andy Williams,"4,985,189",8
USA,positions,Ariana Grande,"4,954,597",9
USA,Good Days,SZA,"4,601,858",10
UK,Last Christmas,Wham!,"3,220,201",1
UK,All I Want for Christmas Is You,Mariah Carey,"3,111,519",2
UK,Rockin' Around The Christmas Tree,Brenda Lee,"2,743,732",3
UK,It's Beginning to Look a Lot like Christmas,Michael Bublé,"2,518,827",4
UK,It's the Most Wonderful Time of the Year,Andy Williams,"2,353,487",5
UK,Jingle Bell Rock,Bobby Helms,"2,247,393",6
UK,Santa Tell Me,Ariana Grande,"2,198,371",7
UK,Underneath the Tree,Kelly Clarkson,"2,112,475",8
UK,Do They Know It's Christmas? - 1984 Version,Band Aid,"2,101,341",9
UK,Fairytale of New York (feat. Kirsty MacColl),The Pogues,"2,047,272",10
Australia,WITHOUT YOU,The Kid LAROI,"1,314,134",1
Australia,Mood (feat. iann dior),24kGoldn,"1,309,470",2
Australia,positions,Ariana Grande,"1,163,019",3
Australia,Head & Heart (feat. MNEK),Joel Corry,"1,132,070",4
Australia,Levitating (feat. DaBaby),Dua Lipa,"987,633",5
Australia,SO DONE,The Kid LAROI,"987,420",6
Australia,All I Want for Christmas Is You,Mariah Carey,"947,859",7
Australia,Blinding Lights,The Weeknd,"886,395",8
Australia,What You Know Bout Love,Pop Smoke,"878,531",9
Australia,34+35,Ariana Grande,"875,348",10
Brazil,Recairei - Ao Vivo,Os Barões Da Pisadinha,"6,719,221",1
